epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.917986,1.43561,4.25857,1.81821,0.00333,1,0.05087,0.01935,1.37276,4.79785,1.92855,0,0,0
2,1.3416,1.28786,4.53906,1.72609,0.00333,1,0.05947,0.02431,1.35878,4.73631,1.92491,1.99802e-05,1.99802e-05,1.99802e-05
3,1.76064,1.16639,4.46763,1.52285,0.00333,1,0.04988,0.02096,1.34489,4.74595,1.92527,3.99208e-05,3.99208e-05,3.99208e-05
4,2.16401,1.36673,4.38627,1.63061,0.00333,1,0.06257,0.02638,1.35488,4.74744,1.93307,5.98218e-05,5.98218e-05,5.98218e-05
5,2.54767,1.44395,4.129,1.77909,0.00333,1,0.06112,0.02522,1.35705,4.76278,1.94467,7.96832e-05,7.96832e-05,7.96832e-05
6,2.93088,1.47551,4.64326,1.62369,0.00333,1,0.06009,0.02502,1.37015,4.7871,1.96203,9.9505e-05,9.9505e-05,9.9505e-05
7,3.33974,1.47105,3.77754,1.84374,0.00333,1,0.29255,0.1172,1.20485,4.63424,1.83384,0.000119287,0.000119287,0.000119287
8,3.81879,1.02005,3.65199,1.42573,0.00333,1,0.41861,0.19737,1.08864,4.69682,1.80982,0.00013903,0.00013903,0.00013903
9,4.29632,0.98991,3.73595,1.4324,0.00333,1,0.5818,0.36209,0.94603,4.60204,1.72348,0.000158733,0.000158733,0.000158733
10,4.78058,0.82194,3.00142,1.31997,0.00333,1,0.85891,0.58336,0.76601,4.33002,1.55634,0.000178396,0.000178396,0.000178396
11,5.39782,0.8483,3.13698,1.24353,0.00333,1,0.83237,0.61561,0.69391,4.30219,1.46663,0.00019802,0.00019802,0.00019802
12,5.87722,0.66442,3.55156,1.1437,0.00333,1,0.86996,0.67209,0.7156,4.35242,1.39468,0.000217604,0.000217604,0.000217604
13,6.35279,0.71056,3.11462,1.18894,0.00333,1,0.85761,0.64559,0.87189,4.57849,1.40843,0.000237149,0.000237149,0.000237149
14,6.82089,0.73815,3.24677,1.19524,0.00333,1,0.85747,0.62971,0.85762,4.541,1.40134,0.000256654,0.000256654,0.000256654
15,7.29599,0.55738,2.40673,1.04227,0.00333,1,0.86566,0.65012,0.92854,4.72295,1.43909,0.000276119,0.000276119,0.000276119
16,7.76518,0.68178,2.84151,1.1384,0.00333,1,0.90725,0.65501,0.93912,4.76953,1.45915,0.000295545,0.000295545,0.000295545
17,8.24405,0.66112,2.63347,1.18657,0.00333,1,0.91267,0.72842,0.82666,4.46209,1.39763,0.000314931,0.000314931,0.000314931
18,8.78399,0.42273,2.01894,0.95458,0.00333,1,0.91267,0.72842,0.82666,4.46209,1.39763,0.000334278,0.000334278,0.000334278
19,9.34006,0.63747,2.52276,1.21952,0.00333,1,0.96324,0.79238,0.61924,4.18683,1.30321,0.000353585,0.000353585,0.000353585
20,9.86643,0.72982,2.3403,1.15431,0.00333,1,0.96324,0.79238,0.61924,4.18683,1.30321,0.000372852,0.000372852,0.000372852
21,10.399,0.53949,1.85233,1.06823,0.00333,1,0.995,0.81194,0.62044,4.11991,1.30359,0.00039208,0.00039208,0.00039208
22,10.8768,0.51135,1.92244,0.96948,0.00333,1,0.995,0.81194,0.62044,4.11991,1.30359,0.000411268,0.000411268,0.000411268
23,11.3648,0.7969,2.58969,1.28112,0.00333,1,0.995,0.75609,0.63983,4.21437,1.35366,0.000430417,0.000430417,0.000430417
24,11.8262,0.53724,1.89337,1.06516,0.00333,1,0.995,0.75609,0.63983,4.21437,1.35366,0.000449526,0.000449526,0.000449526
25,12.305,0.65772,1.76244,1.03656,0.00333,1,0.995,0.7491,0.55576,4.16381,1.27165,0.000468595,0.000468595,0.000468595
26,12.7688,0.73942,2.70458,1.24487,0.00333,1,0.995,0.7491,0.55576,4.16381,1.27165,0.000487625,0.000487625,0.000487625
27,13.2687,0.63906,2.00463,1.09017,0.00333,1,0.9875,0.77958,0.56051,4.17748,1.24154,0.000506615,0.000506615,0.000506615
28,13.7342,0.45832,2.07084,1.01424,0.00333,1,0.9875,0.77958,0.56051,4.17748,1.24154,0.000525566,0.000525566,0.000525566
