epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.19768,1.31517,4.94823,1.66508,0.00333,1,0.05736,0.0225,1.3651,5.67599,1.92401,0,0,0
2,8.37552,1.23478,4.75631,1.55153,0.00333,1,0.09016,0.03254,1.31157,5.68757,1.85418,1.99802e-05,1.99802e-05,1.99802e-05
3,13.0942,1.04177,3.81437,1.4201,0.00333,1,0.18957,0.07814,1.2411,5.55709,1.79043,3.99208e-05,3.99208e-05,3.99208e-05
4,18.2518,0.9901,4.08863,1.4518,0.00333,1,0.39449,0.17803,1.11886,5.42154,1.71759,5.98218e-05,5.98218e-05,5.98218e-05
5,22.664,0.76583,3.38949,1.28472,0.00333,1,0.47656,0.25391,0.96372,5.35403,1.61886,7.96832e-05,7.96832e-05,7.96832e-05
6,26.7178,0.73516,3.26398,1.27006,0.00333,1,0.53687,0.33344,0.82712,5.10271,1.53046,9.9505e-05,9.9505e-05,9.9505e-05
7,30.8308,0.80079,3.7572,1.35066,0.00333,1,0.74587,0.46175,0.76016,4.95136,1.46835,0.000119287,0.000119287,0.000119287
